rank,name,symbol,category,revenue30d,annualizedRevenue,marketCap,revenueYield,marketCapSource,quality
1,Full Sail,SAIL,Dexs,19082.49,232170.295,13655.460347040726,17.00201158361634,DeFiLlama,Direct match
2,fly.trade,FLY,Cross Chain Bridge,88935,1082042.5,77961.90195111361,13.879118812141089,DeFiLlama,Direct match
3,HawkFi,HAWK,Liquidity Manager,14682,178631,18617.455451014284,9.59481280726084,DeFiLlama,Direct match
4,Yala,YALA,CDP,2040,24820,3489.4037641655727,7.112963038238497,DeFiLlama,Direct match
5,Aark Digital,AARK,Derivatives,197513,2403074.8333333335,369864.2289989568,6.497180978645305,DeFiLlama,Direct match
6,MineBean,BEAN,Gamified Mining,50300,611983.3333333334,105881.89970643027,5.7798673336059085,DeFiLlama,Direct match
7,Gamma,GAMMA,Liquidity Manager,6398.37,77846.83499999999,16216.114772587927,4.800584855972651,DeFiLlama,Direct match
8,Jade,JADE,Gamified Mining,5126,62366.333333333336,17521.971933823726,3.5593216088278177,DeFiLlama,Direct match
9,Fragmetric,FRAG,Liquid Restaking,1188.7599999999998,14463.246666666664,4497.626443596766,3.215750985113019,DeFiLlama,Direct match
10,ZINC,ZINC,Gamified Mining,21865.84,266034.38666666666,115996.45054568644,2.29347006236097,DeFiLlama,Direct match
11,token.select,SELECT,Launchpad,28073.739999999998,341563.83666666667,174780.44051784032,1.9542451984597344,DeFiLlama,Direct match
12,Neverland,DUST,Lending,14469,176039.5,110141.4124185555,1.5983043628587303,DeFiLlama,Direct match
13,FlashTrade,FAF,Derivatives,20147.11,245123.1716666667,155342.05462520669,1.5779575740650182,DeFiLlama,Direct match
14,Fake World Assets,FWA,Gamified Mining,1072199,13045087.833333334,10081854.133421132,1.293917533491101,DeFiLlama,Direct match
15,PEPTIDES,PEPTI,Interface,13790,167778.33333333334,141295.2450956304,1.1874308524662585,DeFiLlama,Direct match
16,ORE Protocol,ORE,Gamified Mining,2722384,33122338.666666668,29646429.85578061,1.117245443306163,DeFiLlama,Direct match
17,Kyros,KYROS,Liquid Restaking,26178.950000000004,318510.5583333334,348604.3044774387,0.9136736243426021,DeFiLlama,Direct match
18,Collector Crypt,CARDS,Physical TCG,9507399,115673354.5,130624042.12788211,0.8855441357935835,DeFiLlama,Direct match
19,THORWallet,TITN,DEX Aggregator,17660,214863.33333333334,253010.98264813932,0.8492253224918,DeFiLlama,Direct match
20,Ooga Booga,OOGA,DEX Aggregator,994.1400000000002,12095.370000000003,19373.071152684275,0.6243393163981698,DeFiLlama,Direct match
21,Streamflow,STREAM,Payments,128880,1568040,2566236.413967346,0.611027102361097,DeFiLlama,Direct match
22,Alt Fun,ALT,Launchpad,39692.72,482928.0933333334,834432.9289766728,0.5787500427692661,DeFiLlama,Direct match
23,sTONks,sTONks,Launchpad,5649.719999999999,68738.26,119077.5981911432,0.5772560166158326,DeFiLlama,Direct match
24,mETH Protocol,COOK,Liquid Staking,94080,1144640,2179941.9819754185,0.5250781944952273,DeFiLlama,Direct match
25,Kinetic,JOULE,Lending,13426,163349.66666666666,319229.5770095925,0.5116996620327514,DeFiLlama,Direct match
26,Immunefi,IMU,Services,98694,1200777,2442216.7922411575,0.49167502402523355,DeFiLlama,Direct match
27,Echelon Market,ELON,Lending,23448,285284,617134.7838289386,0.46227178806870955,DeFiLlama,Direct match
28,PrimeFi,PRFI,Lending,7975.92,97040.36,217115.49319426483,0.4469527189069497,DeFiLlama,Direct match
29,Symbiosis,SIS,Cross Chain Bridge,65335,794909.1666666666,1931083.3668476895,0.41163896925086174,DeFiLlama,Direct match
30,Turbos,TURBOS,Dexs,25557,310943.5,790672.7260984641,0.3932644819233054,DeFiLlama,Direct match
31,StockRip,RIP,Gamified Mining,33031.3,401880.8166666667,1035467.3461844829,0.3881153936408788,DeFiLlama,Direct match
32,THORSwap,THOR,DEX Aggregator,250096,3042834.6666666665,8411550.032050362,0.3617448217121237,DeFiLlama,Direct match
33,Gains Network,GNS,Derivatives,343362,4177571,11700952.40946412,0.3570282874256493,DeFiLlama,Direct match
34,Quickswap Dex,QUICK,Dexs,176592,2148536,6022535.6324447,0.3567494044245039,DeFiLlama,Direct match
35,fx Protocol,FXN,Dual-Token Stablecoin,126853,1543378.1666666667,4383813.079363479,0.3520629503871917,DeFiLlama,Direct match
36,GroypFi,GROYP,DEX Aggregator,63375,771062.5,2210460.9002419007,0.3488243107650622,DeFiLlama,Direct match
37,Piteas,PTS,DEX Aggregator,86112,1047696,3058089.3591961777,0.342598229462918,DeFiLlama,Direct match
38,Inverse Finance FiRM,INV,CDP,185225,2253570.8333333335,6846385.129693136,0.3291621477090848,DeFiLlama,Direct match
39,Ready Cards,READY,Physical TCG,98418,1197419,3968090.6416629115,0.3017620080115399,DeFiLlama,Direct match
40,Resupply,RSUP,Lending,74372,904859.3333333334,3040482.4619893883,0.2976038653882857,DeFiLlama,Direct match
41,Sport.fun,FUN,Prediction Market,80396,978151.3333333334,3809678.6920289816,0.2567542862288955,DeFiLlama,Direct match
42,Bankr,BNKR,Interface,551631.54,6711517.070000001,26269816.324802898,0.2554839739653322,DeFiLlama,Direct match
