rank,name,symbol,category,revenue30d,annualizedRevenue,marketCap,revenueYield,marketCapSource,quality
1,PEPTIDES,PEPTI,Interface,13790,167778.33333333334,152192.03711904906,1.1024120348825623,DeFiLlama,Direct match
2,sTONks,sTONks,Launchpad,7527.92,91589.69333333333,119010.74329770514,0.7695918099109917,DeFiLlama,Direct match
3,Collector Crypt,CARDS,Physical TCG,9658134,117507297.0,166607665.09304553,0.7052934625449291,DeFiLlama,Direct match
4,Alt Fun,ALT,Launchpad,43149.67,524987.6516666666,804432.1842787655,0.6526189055170113,DeFiLlama,Direct match
5,Ready Cards,READY,Physical TCG,112628,1370307.3333333333,4489760.451690717,0.30520722610430456,DeFiLlama,Direct match
6,pump.fun,PUMP,Launchpad,36616460,445500263.3333333,1713051946,0.26006231998602414,CoinGecko fallback,Reviewed override
7,Limitless Exchange,LMTS,Prediction Market,206452.99,2511844.7116666664,9833383.532557162,0.2554405310593498,DeFiLlama,Direct match
8,Sport.fun,FUN,Prediction Market,78596,956251.3333333334,3858587.011164719,0.24782422440298627,DeFiLlama,Direct match
9,Bankr,BNKR,Interface,553979.54,6740084.403333334,27476187.2656953,0.2453063934292112,DeFiLlama,Direct match
10,Ansem.io,ANSEM,Launchpad,1952228,23752107.333333332,106183442.9261814,0.2236893688768951,DeFiLlama,Direct match
11,Pons,PONS,Launchpad,7931995,96505939.16666667,490913695,0.19658432867037182,CoinGecko fallback,Reviewed override
12,Bloxwap,BLOXWAP,Interface,1476.45,17963.475,106149.72339013757,0.16922771370753278,DeFiLlama,Direct match
13,Graphite Protocol,GP,Launchpad,64846,788959.6666666666,5381667.766107187,0.1466013327012489,DeFiLlama,Direct match
14,Orynth,ORY,Launchpad,3751,45637.166666666664,402666.9684076288,0.11333724950705948,DeFiLlama,Direct match
15,Overtime,OVER,Prediction Market,95716,1164544.6666666667,12442651.562997712,0.09359296615922451,DeFiLlama,Direct match
16,Metaplex,MPLX,Launchpad,91461,1112775.5,15263726.476237938,0.07290326524995924,DeFiLlama,Direct match
17,Anoncoin,ANONCOIN,Launchpad,12140,147703.33333333334,2254075.534257757,0.06552723326637343,DeFiLlama,Direct match
18,OPINION,OPN,Prediction Market,45898,558425.6666666666,10182513.694526125,0.05484163178360004,DeFiLlama,Direct match
19,Haystack,HAY,Trading App,563.0100000000001,6849.955000000002,181559.62409265435,0.0377284048379848,DeFiLlama,Direct match
20,Kintara,KINS,Gaming,3994,48593.666666666664,1314388.02359136,0.03697056409103003,DeFiLlama,Direct match
